Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,402,240.9112,-54.5,90,bottom
C2,30pF,402,243.1288,-68.5038,90,bottom
C3,100nF,402,240.825,-65.65,-90,bottom
C4,100nF,402,245.0084,-53.6194,90,bottom
C5,22uF,CASE-A-3216,228.092,-53.1495,180,bottom
C6,22uF,CASE-A-3216,229.79,-62.6745,180,bottom
C7,100nF,402,248.5898,-56.388,0,bottom
C8,30pF,402,244.825,-64.4906,0,bottom
C9,100nF,402,248.786478,-60.546907,0,bottom
C10,100nF,402,241.75,-66.4,-90,bottom
C11,100nF,402,238.189516,-60.546613,180,bottom
C12,100nF,402,238.6112,-56.769,180,bottom
C13,100nF,402,243.84,-54.1782,90,bottom
C14,1uF,402,239.522,-55.2958,180,bottom
C15,100nF,402,248.8692,-47.1424,45,bottom
C16,100nF,402,215.7984,-60.5256,-90,bottom
D1,SM4007,SOD-123FL,55.5625,-42.06875,-90,bottom
D2,SM4007,SOD-123FL,91.28125,-42.06875,-90,bottom
D3,SM4007,SOD-123FL,112.7125,-42.06875,-90,bottom
D4,SM4007,SOD-123FL,131.7625,-42.06875,-90,bottom
D5,SM4007,SOD-123FL,150.8125,-42.06875,-90,bottom
D6,SM4007,SOD-123FL,179.3875,-42.06875,-90,bottom
D7,SM4007,SOD-123FL,198.4375,-42.06875,-90,bottom
D8,SM4007,SOD-123FL,215.10625,-42.06875,-90,bottom
D9,SM4007,SOD-123FL,234.15625,-42.06875,-90,bottom
D10,SM4007,SOD-123FL,265.1125,-42.06875,-90,bottom
D11,SM4007,SOD-123FL,284.1625,-42.06875,-90,bottom
D12,SM4007,SOD-123FL,303.2125,-42.06875,-90,bottom
D13,SM4007,SOD-123FL,322.2625,-42.06875,-90,bottom
D14,SM4007,SOD-123FL,346.075,-42.06875,-90,bottom
D15,SM4007,SOD-123FL,362.74375,-42.06875,-90,bottom
D16,SM4007,SOD-123FL,55.5625,-70.64375,-90,bottom
D17,SM4007,SOD-123FL,74.6125,-70.64375,-90,bottom
D18,SM4007,SOD-123FL,93.6625,-70.64375,-90,bottom
D19,SM4007,SOD-123FL,112.7125,-70.64375,-90,bottom
D20,SM4007,SOD-123FL,131.7625,-70.64375,-90,bottom
D21,SM4007,SOD-123FL,169.8625,-70.64375,-90,bottom
D22,SM4007,SOD-123FL,188.9125,-70.64375,-90,bottom
D23,SM4007,SOD-123FL,207.9625,-70.64375,-90,bottom
D24,SM4007,SOD-123FL,246.0625,-78.58125,90,bottom
D25,SM4007,SOD-123FL,265.1125,-70.64375,90,bottom
D26,SM4007,SOD-123FL,284.1625,-70.64375,-90,bottom
D27,SM4007,SOD-123FL,312.7375,-70.64375,-90,bottom
D28,SM4007,SOD-123FL,346.075,-70.64375,-90,bottom
D29,SM4007,SOD-123FL,365.125,-70.64375,-90,bottom
D30,SM4007,SOD-123FL,381.79375,-42.06875,90,bottom
D31,SM4007,SOD-123FL,60.325,-89.69375,-90,bottom
D32,SM4007,SOD-123FL,84.1375,-89.69375,-90,bottom
D33,SM4007,SOD-123FL,103.1875,-89.69375,-90,bottom
D34,SM4007,SOD-123FL,122.2375,-89.69375,-90,bottom
D35,SM4007,SOD-123FL,141.2875,-89.69375,-90,bottom
D36,SM4007,SOD-123FL,150.8125,-77.7875,90,bottom
D37,SM4007,SOD-123FL,179.3875,-89.69375,-90,bottom
D38,SM4007,SOD-123FL,227.0125,-77.7875,90,bottom
D39,SM4007,SOD-123FL,236.5375,-89.69375,-90,bottom
D40,SM4007,SOD-123FL,255.5875,-89.69375,-90,bottom
D41,SM4007,SOD-123FL,274.6375,-89.69375,-90,bottom
D42,SM4007,SOD-123FL,293.6875,-89.69375,-90,bottom
D43,SM4007,SOD-123FL,346.075,-89.69375,-90,bottom
D44,SM4007,SOD-123FL,365.125,-89.69375,-90,bottom
D45,SM4007,SOD-123FL,381.79375,-70.64375,90,bottom
D46,SM4007,SOD-123FL,62.70625,-108.74375,-90,bottom
D47,SM4007,SOD-123FL,88.9,-108.74375,-90,bottom
D48,SM4007,SOD-123FL,107.95,-108.74375,-90,bottom
D49,SM4007,SOD-123FL,127,-108.74375,-90,bottom
D50,SM4007,SOD-123FL,146.05,-108.74375,-90,bottom
D51,SM4007,SOD-123FL,160.3375,-96.8375,90,bottom
D52,SM4007,SOD-123FL,198.4375,-96.8375,90,bottom
D53,SM4007,SOD-123FL,217.4875,-96.8375,90,bottom
D54,SM4007,SOD-123FL,241.3,-108.74375,-90,bottom
D55,SM4007,SOD-123FL,260.35,-108.74375,-90,bottom
D56,SM4007,SOD-123FL,279.4,-108.74375,-90,bottom
D57,SM4007,SOD-123FL,296.06875,-108.74375,-90,bottom
D58,SM4007,SOD-123FL,317.5,-96.04375,90,bottom
D59,SM4007,SOD-123FL,365.125,-127.79375,-90,bottom
D60,SM4007,SOD-123FL,381.79375,-89.69375,90,bottom
D61,SM4007,SOD-123FL,58.55,-127,-90,bottom
D62,SM4007,SOD-123FL,79.375,-127.79375,-90,bottom
D63,SM4007,SOD-123FL,98.425,-127.79375,-90,bottom
D64,SM4007,SOD-123FL,117.475,-127.79375,-90,bottom
D65,SM4007,SOD-123FL,136.525,-127.79375,-90,bottom
D66,SM4007,SOD-123FL,165.1,-115.8875,90,bottom
D67,SM4007,SOD-123FL,184.15,-115.8875,90,bottom
D68,SM4007,SOD-123FL,203.2,-115.8875,90,bottom
D69,SM4007,SOD-123FL,222.25,-115.8875,90,bottom
D70,SM4007,SOD-123FL,250.825,-127.79375,-90,bottom
D71,SM4007,SOD-123FL,269.875,-127.79375,-90,bottom
D72,SM4007,SOD-123FL,305.59375,-127.79375,-90,bottom
D73,SM4007,SOD-123FL,319.88125,-106.3625,90,bottom
D74,SM4007,SOD-123FL,365.125,-146.84375,-90,bottom
D75,SM4007,SOD-123FL,382.5875,-146.84375,-90,bottom
D76,SM4007,SOD-123FL,57.94375,-146.84375,-90,bottom
D77,SM4007,SOD-123FL,81.75625,-146.84375,-90,bottom
D78,SM4007,SOD-123FL,105.56875,-146.84375,-90,bottom
D79,SM4007,SOD-123FL,177.00625,-146.84375,-90,bottom
D80,SM4007,SOD-123FL,155.575,-134.9375,90,bottom
D81,SM4007,SOD-123FL,174.625,-134.9375,90,bottom
D82,SM4007,SOD-123FL,193.675,-134.9375,90,bottom
D83,SM4007,SOD-123FL,212.725,-134.9375,90,bottom
D84,SM4007,SOD-123FL,231.775,-134.9375,90,bottom
D85,SM4007,SOD-123FL,248.44375,-146.84375,-90,bottom
D86,SM4007,SOD-123FL,272.25625,-146.84375,-90,bottom
D87,SM4007,SOD-123FL,296.06875,-146.84375,-90,bottom
